,Id,Name,Age,Nationality,Club,Value,Wage,Overall,Potential
4300,194904,Bill Hamid,29,United States,DC United,€2.9M,€6K,74,74
4301,194964,Nathaniel Mendez-Laing,28,England,Middlesbrough,€1.9M,€13K,71,71
4302,195912,Hyun Jun Suk,29,Korea Republic,ESTAC Troyes,€1.2M,€4K,68,68
4303,196952,Jake Bidwell,27,England,Swansea City,€2.3M,€19K,72,72
4304,197975,Sam Morsy,28,Egypt,Middlesbrough,€1.4M,€10K,70,70
4305,199282,Amir Abrashi,30,Albania,FC Basel 1893,€1.6M,€14K,71,71
4306,199504,Taulant Xhaka,29,Albania,FC Basel 1893,€2M,€12K,72,72
4307,199517,Claiton Machado dos Santos,34,Brazil,US Cremonese,€325K,€2K,68,68
4308,199570,Jesús Sánchez,30,Mexico,Guadalajara,€2M,€29K,72,72
4309,199633,Matthew Lowton,31,England,Burnley,€4.1M,€42K,75,75
4310,199669,Leandro González Pirez,28,Argentina,Inter Miami,€2M,€6K,72,72
4311,200138,Michael Hector,27,Jamaica,Fulham,€2.5M,€53K,72,74
4312,200309,Tendayi Darikwa,28,Zimbabwe,Wigan Athletic,€1.4M,€4K,70,70
4313,200408,Ben Gibson,27,England,Norwich City,€2M,€28K,71,73
4314,200529,Nacer Chadli,30,Belgium,Medipol Başakşehir FK,€13.5M,€40K,78,78
4315,201877,Mats Møller Dæhli,25,Norway,1. FC Nürnberg,€2.5M,€10K,71,74
4316,201971,Akihiro Ienaga,34,Japan,Kawasaki Frontale,€1.4M,€11K,73,73
4317,202088,Felix Klaus,27,Germany,Fortuna Düsseldorf,€3.2M,€22K,73,73
4318,202089,Luis Mejía,29,Panama,Nacional de Montevideo,€4.7M,€1K,75,77
4319,202131,Jordan Cousins,26,England,Stoke City,€950K,€8K,66,68
4320,202316,Timmy Chandler,30,United States,Eintracht Frankfurt,€2.9M,€22K,73,73
4321,27,Joe Cole,33,England,Coventry City,€1.1M,€15K,71,71
4322,3467,Yuri de Souza Fonseca,37,Brazil,SD Ponferradina,€650K,€6K,71,71
4323,5672,Edgar Davids,39,Netherlands,Barnet,€1K,€0,64,64
4324,8517,Scott Parker,35,England,Fulham,€350K,€15K,72,72
4325,45661,Raúl González Blanco,34,Spain,FC Schalke 04,€4.3M,€50K,81,81
4326,49212,Julián Speroni,39,Argentina,Crystal Palace,€60K,€9K,68,68
4327,54051,Wayne Routledge,35,England,Swansea City,€500K,€9K,68,68
4328,107647,Hamit Altıntop,34,Turkey,SV Darmstadt 98,€1.7M,€20K,74,74
4329,134779,Jimmy Briand,34,France,FC Girondins de Bordeaux,€2.1M,€29K,74,74
4330,135742,Alexis Ruano Delgado,33,Spain,Racing Santander,€500K,€5K,69,69
4331,139064,Leonardo Ponzio,38,Argentina,River Plate,€600K,€9K,73,73
4332,139296,David Nugent,35,England,Tranmere Rovers,€300K,€6K,65,65
4333,141645,Eric Abidal,34,France,Olympiacos CFP,€1M,€45K,75,75
4334,142784,Pablo Zabaleta,34,Argentina,West Ham United,€2M,€53K,74,74
4335,144200,Eren Albayrak,29,Turkey,Antalyaspor,€1.6M,€11K,71,71
4336,149184,Christian Maggio,38,Italy,Lecce,€675K,€3K,73,73
4337,156221,Cristian Săpunaru,36,Romania,Kayserispor,€250K,€5K,69,69
4338,156433,Alfredo Talavera,37,Mexico,U.N.A.M.,€825K,€7K,76,76
4339,162471,Andy Keogh,34,Republic of Ireland,Perth Glory,€425K,€3K,66,66
4340,163156,Richard Keogh,33,Republic of Ireland,Huddersfield Town,€575K,€11K,68,68
4341,163489,Andrea Consigli,33,Italy,Sassuolo,€8.5M,€32K,81,81
4342,163806,Sergio Álvarez Conde,33,Spain,RC Celta,€1M,€14K,73,73
4343,165735,Brad Jones,38,Australia,Al Nassr,€250K,€13K,72,72
4344,165816,Jonathan Cícero Moreira,28,Brazil,Inter,€2.5M,€60K,73,73
4345,252526,Darian Males,19,Switzerland,FC Basel 1893,€575K,€8K,58,78
4346,252789,Ruslan Neshcheret,18,Ukraine,Dynamo Kyiv,€1.3M,€500,64,80
4347,252864,Sergio Bermejo Lillo,22,Spain,Real Zaragoza,€2.7M,€4K,68,77
4348,252994,Vadim Karpov,17,Russia,PFC CSKA Moscow,€1.2M,€500,64,79
4349,253106,Tivonge Rushesha,17,Wales,Swansea City,€275K,€500,53,74
4350,253378,Tomás Aresta Machado Ribeiro,21,Portugal,Os Belenenses,€3.7M,€3K,70,82
4351,253399,Oliver Valaker Edvardsen,21,Norway,Stabæk Fotball,€1.9M,€1K,66,75
4352,253428,Vítězslav Jaroš,18,Czech Republic,St. Patrick's Athletic,€400K,€950,57,77
4353,253461,Luke Cundle,18,England,Wolverhampton Wanderers,€350K,€3K,54,75
4354,254129,Christian Makoun,20,Venezuela,Inter Miami,€750K,€1K,61,76
4355,254556,Kélian Nsona,18,France,Stade Malherbe Caen,€1M,€750,62,79
4356,254565,Joaquín Indacoechea,19,Argentina,Club Atlético Aldosivi,€1.5M,€2K,64,80
4357,255158,Juan de Dios Rivas,20,Spain,Málaga CF,€1.9M,€2K,66,78
4358,255233,Tomáš Suslov,18,Slovakia,FC Groningen,€1M,€750,62,79
4359,255268,Javier Martínez Calvo,20,Spain,CA Osasuna,€950K,€4K,62,76
4360,255419,Joel Mumbongo,21,Sweden,Burnley,€500K,€6K,59,68
4361,255438,Ryotaro Araki,18,Japan,Kashima Antlers,€625K,€600,60,77
4362,255943,Lirim Kastrati,21,Kosovo,Dinamo Zagreb,€3.1M,€500,69,77
4363,256449,Christian Fernandes Marques,17,Switzerland,Wolverhampton Wanderers,€600K,€500,58,80
4364,256476,Mohamed-Ali Cho,16,France,Angers SCO,€650K,€800,58,80
4365,256770,Kaan Kurt,18,Germany,Borussia Mönchengladbach,€1.1M,€2K,63,75
4366,256880,Richecard Richard,18,France,Olympique de Marseille,€800K,€2K,61,78
4367,257079,Jabez Makanda Maleko,18,Angola,Eintracht Frankfurt,€525K,€2K,59,72
4368,257247,Caleb Watts,18,Australia,Southampton,€625K,€3K,60,76
4369,257406,Fodé Doucouré,19,Mali,Stade de Reims,€1.9M,€4K,66,79
4370,257919,Rocco Reitz,18,Germany,Borussia Mönchengladbach,€1.4M,€3K,64,78
4371,258770,Alejandro Benítez Palomero,20,Spain,Málaga CF,€1.3M,€2K,64,77
4372,259206,Antonis Stergiakis,21,Greece,Blackburn Rovers,€1M,€4K,63,77
4373,259307,Malo Gusto,17,France,Olympique Lyonnais,€1.1M,€500,63,80
4374,259739,Dylan Perera Plasencia,17,Spain,CD Tenerife,€900K,€500,61,81
4375,260040,Freddy Vargas,21,Venezuela,FC Dallas,€3.6M,€4K,70,80
4376,260554,Luis Hartwig,17,Germany,VfL Bochum 1848,€700K,€650,59,80
4377,241075,Paul Smyth,22,Northern Ireland,Accrington Stanley,€1.1M,€2K,63,72
4378,241588,Antonio Moya Vega,22,Spain,Atlético Madrid,€1.6M,€10K,65,74
4379,241590,Patric Pfeiffer,20,Germany,SV Darmstadt 98,€1.3M,€3K,64,79
4380,241619,Zichang Huang,23,China PR,Jiangsu Suning FC,€1.1M,€4K,63,71
4381,241659,Stephen Odey,22,Nigeria,Amiens SC,€1.2M,€4K,64,71
4382,241867,Aitor Ruibal García,24,Spain,Real Betis,€2.4M,€11K,70,75
4383,241937,Abdou Harroui,22,Netherlands,Sparta Rotterdam,€3.8M,€7K,71,78
4384,242184,Alfons Amade,20,Germany,TSG 1899 Hoffenheim,€1M,€4K,63,74
4385,242242,Sébastien Cibois,22,France,Stade Brestois 29,€1.4M,€3K,65,73
4386,242427,Adrián Mora,22,Mexico,Monterrey,€1.5M,€6K,67,73
4387,242554,Brandon Bye,24,United States,New England Revolution,€1.2M,€2K,66,71
4388,242708,Mo Adams,23,England,Atlanta United,€1.2M,€2K,66,71
4389,242714,Chris Mueller,23,United States,Orlando City SC,€2.2M,€4K,69,75
4390,242823,Eric Cantú,21,Mexico,Monterrey,€600K,€5K,60,72
4391,242865,Ismael Govea,23,Mexico,Santos Laguna,€2.7M,€6K,69,76
4392,243061,Dong Jun Lee,23,Korea Republic,Ulsan Hyundai FC,€1.1M,€2K,65,71
4393,243238,Aluísio Chaves Rib. Moraes Júnior,33,Ukraine,Shakhtar Donetsk,€11M,€1K,79,79
4394,243442,Emanuel Aiwu,19,Austria,FC Admira Wacker Mödling,€1.4M,€2K,65,76
4395,243468,Andrés Balanta,20,Colombia,Deportivo Cali,€750K,€500,61,76
4396,243520,Alistair McCann,20,Northern Ireland,St. Johnstone FC,€1.2M,€1K,63,77
4397,243608,Ryan Giles,20,England,Rotherham United,€2.3M,€15K,67,79
4398,243981,Arbenit Xhemajli,22,Kosovo,Sunderland,€825K,€2K,62,72
4399,244257,Jonathan Burkardt,19,Germany,1. FSV Mainz 05,€2.6M,€7K,68,79
4400,244394,Enrique Clemente Maza,21,Spain,UD Logroñés,€1.7M,€2K,65,78
4401,244661,Victor da Silva,20,Brazil,KSV Cercle Brugge,€1.8M,€2K,66,75
4402,244731,Nazariy Rusyn,21,Ukraine,Dynamo Kyiv,€4.2M,€550,71,79
4403,244762,Lamine Diabyfadiga,19,France,Paris FC,€1M,€1K,63,74
4404,244771,Kevin Moreno,19,Colombia,Deportivo Cali,€875K,€500,62,76
4405,244807,Văn Lâm Đặng,26,Vietnam,Cerezo Osaka,€800K,€2K,66,68
4406,244859,Jonas David,20,Germany,Hamburger SV,€1.1M,€2K,63,78
4407,245039,Liuyu Duan,21,China PR,Shandong Luneng TaiShan FC,€1.3M,€3K,64,74
4408,245041,Chenjie Zhu,19,China PR,Shanghai Greenland Shenhua FC,€875K,€1K,62,74
4409,245084,Maxime Busi,20,Belgium,Parma,€2M,€9K,69,75
4410,245089,Samuel Pérez Fariña,23,Spain,Real Valladolid CF,€1.4M,€3K,65,73
4411,245238,Javier Sánchez de Felipe,23,Spain,Real Valladolid CF,€3.9M,€10K,71,80
4412,245247,Fabricio Domínguez,22,Uruguay,Racing Club,€1.5M,€4K,65,74
4413,245543,Christian Kühlwetter,24,Germany,1. FC Heidenheim 1846,€2.3M,€13K,70,74
4414,245729,Harry Clarke,19,England,Oldham Athletic,€400K,€1K,57,76
4415,246180,Alfie Bates,19,England,Walsall,€900K,€1K,62,75
4416,246309,Miguel Mariz Luís,21,Portugal,Vitória Guimarães,€3.1M,€4K,69,80
4417,246745,Alexis Gutiérrez,20,Mexico,Cruz Azul,€1.2M,€8K,63,78
4418,246870,Enzo Díaz,24,Argentina,Club Atlético Talleres,€4.3M,€10K,73,78
4419,246929,Gerson Rodrigues Gouveia,25,Luxembourg,Dynamo Kyiv,€2.5M,€650,71,74
4420,247059,Ali Al Hidhani,22,United Arab Emirates,,€0,€0,56,64
4421,247203,Matěj Hanousek,27,Czech Republic,Sparta Praha,€2.5M,€700,72,73
4422,247209,Dylan Mbayo,18,Belgium,KAA Gent,€1.7M,€2K,65,79
4423,247249,Joël Piroe,20,Netherlands,PSV,€1.6M,€4K,65,74
4424,247722,Armando Dobra,19,Albania,Ipswich Town,€525K,€1K,58,75
4425,247854,Moctar Sidi El Hacen,22,Mauritania,CD Lugo,€3.6M,€10K,70,79
4426,248821,Shaquil Delos,21,France,FC Chambly Oise,€850K,€750,62,73
4427,250786,Ben Jackson,19,England,Bolton Wanderers,€900K,€2K,62,75
4428,250825,Ryan Longman,19,England,AFC Wimbledon,€950K,€6K,62,76
4429,251221,Lukáš Kalvach,24,Czech Republic,Viktoria Plzeň,€8M,€850,75,80
4430,251258,Valentine Ozornwafor,21,Nigeria,Galatasaray SK,€1.7M,€9K,65,79
4431,251392,Tom Krauß,19,Germany,1. FC Nürnberg,€2.1M,€7K,67,78
4432,251405,Kevin Ehlers,19,Germany,SG Dynamo Dresden,€1.9M,€1K,66,78
4433,251462,David Boateng,19,England,Crystal Palace,€825K,€4K,61,77
4434,251545,Darko Churlinov,19,North Macedonia,VfB Stuttgart,€1.3M,€3K,64,75
4435,251568,Ben Cottrell,18,England,Arsenal,€325K,€4K,56,70
4436,252095,Riccieli da Silva Júnior,21,Brazil,Famalicão,€2.9M,€4K,69,79
4437,230995,Sidy Sarr,24,Senegal,Nîmes Olympique,€2M,€9K,69,75
4438,231013,Tomás Andrade,23,Argentina,Argentinos Juniors,€1.7M,€4K,66,73
4439,231236,Mathieu Cafaro,23,France,Stade de Reims,€6.5M,€19K,74,80
4440,231403,Connor Kirby,21,England,Harrogate Town,€550K,€1K,60,70
4441,231540,Scott Wharton,22,England,Blackburn Rovers,€1.5M,€8K,65,73
4442,231638,Adalberto Peñaranda,23,Venezuela,,€0,€0,69,74
4443,233114,Joe Riley,23,England,Carlisle United,€725K,€3K,63,68
4444,233207,Sei Muroya,26,Japan,Hannover 96,€1.8M,€13K,70,72
4445,233396,Idrissa Touré,22,Germany,Vitesse,€1.1M,€11K,63,72
4446,233782,Morgan Feeney,21,England,Carlisle United,€825K,€2K,62,72
4447,233804,Tyreeq Bakinson,21,England,Bristol City,€1.6M,€8K,65,75
4448,233965,Alessio Castro-Montes,23,Belgium,KAA Gent,€2.8M,€11K,71,77
4449,234032,Lluis López Marmol,23,Spain,RCD Espanyol,€2.9M,€4K,69,77
4450,234151,David Carmona Sierra,23,Spain,Real Betis,€1.4M,€5K,65,72
4451,234177,Niall Ennis,21,England,Plymouth Argyle,€1.1M,€3K,63,72
4452,234207,John Kitolano,20,Norway,Odds BK,€1.2M,€950,64,75
4453,234686,Jordan Lotomba,21,Switzerland,OGC Nice,€3.6M,€14K,71,78
4454,234710,Didier Lamkel Zé,23,Cameroon,Royal Antwerp FC,€3.5M,€13K,72,77
4455,234891,Nils Seufert,23,Germany,DSC Arminia Bielefeld,€1.6M,€7K,67,73
4456,235077,Brayan Riascos,25,Colombia,CD Nacional,€1.9M,€7K,70,71
4457,235103,Nana Ampomah,24,Ghana,Royal Antwerp FC,€1.9M,€11K,69,72
4458,235135,Husein Balic,24,Austria,LASK Linz,€1.9M,€12K,69,72
4459,235456,Jean-Ricner Bellegarde,22,France,RC Strasbourg Alsace,€3.6M,€13K,70,78
4460,235499,Djamel Benlamri,30,Algeria,Olympique Lyonnais,€1.9M,€34K,72,72
4461,235513,Silvère Ganvoula,24,Congo,VfL Bochum 1848,€1.8M,€7K,68,73
4462,235717,Berkay Özcan,22,Turkey,Medipol Başakşehir FK,€3.6M,€17K,70,78
4463,235736,Kazaiah Sterling,21,England,Southend United,€550K,€9K,60,71
4464,235840,Michele Di Gregorio,22,Italy,AC Monza,€2.3M,€1K,68,77
4465,235925,Gastón Gómez,24,Argentina,Racing Club,€1.3M,€4K,67,73
4466,236033,Daniel Cárdenas Líndez,23,Spain,Levante UD,€1.6M,€4K,66,76
4467,236247,Herbie Kane,21,England,Barnsley,€1.9M,€3K,66,75
4468,236599,Samuel Shashoua,21,England,CD Tenerife,€2.5M,€3K,67,79
4469,236627,Julius Kade,21,Germany,SG Dynamo Dresden,€800K,€1K,61,73
4470,236692,Marc Gual Huguet,24,Spain,AD Alcorcón,€3.2M,€6K,70,77
4471,236837,Nicolás Schiappacasse,21,Uruguay,Sassuolo,€900K,€5K,62,72
4472,237003,Samuele Birindelli,19,Italy,Pisa,€1.8M,€750,68,82
4473,237415,Jordan Williams,20,England,Barnsley,€2.1M,€3K,67,77
4474,237429,Genta Miura,25,Japan,Gamba Osaka,€1.9M,€7K,70,73
4475,237563,Aliou Badji,22,Senegal,MKE Ankaragücü,€1.8M,€7K,66,73
4476,237594,Lorenco Šimić,23,Croatia,Zagłębie Lubin,€1.2M,€2K,66,71
4477,237698,Callum Gribbin,21,England,Barrow,€550K,€1K,60,68
4478,237831,Sherwin Seedorf,22,Netherlands,Motherwell,€900K,€1K,62,70
4479,237927,Edward McGinty,20,Republic of Ireland,Sligo Rovers,€900K,€500,63,71
4480,237982,Yeison Guzmán,21,Colombia,Envigado FC,€3M,€1K,70,81
4481,238075,Martell Taylor-Crossdale,20,England,Fulham,€600K,€11K,60,74
4482,238224,Amaral Alves Marcos Vinicius,26,Brazil,Hebei China Fortune FC,€3.1M,€12K,72,75
4483,238555,Jefferson Savarino,23,Venezuela,,€0,€0,73,82
4484,238580,Idriz Voca,23,Kosovo,MKE Ankaragücü,€3M,€11K,70,77
4485,238593,Moritz Heyer,25,Germany,Hamburger SV,€2M,€8K,70,74
4486,238637,Sebastian Vasiliadis,22,Greece,SC Paderborn 07,€2.9M,€12K,71,76
4487,239356,Azor Matusiwa,22,Netherlands,FC Groningen,€4.5M,€7K,72,79
4488,239644,Will Smith,21,England,Harrogate Town,€525K,€1K,60,69
4489,239732,Szymon Żurkowski,22,Poland,Empoli,€3.6M,€2K,70,79
4490,239808,Michal Sáček,23,Czech Republic,Sparta Praha,€6M,€750,74,79
4491,240064,Ousseynou Ba,24,Senegal,Olympiacos CFP,€2.6M,€700,71,76
4492,240201,Ignacio Méndez Fernández,22,Spain,Real Sporting de Gijón,€2.7M,€4K,68,78
4493,240776,Sonny Laiton,20,France,AJ Auxerre,€525K,€600,60,74
4494,240809,Arda Akbulut,19,Turkey,Trabzonspor,€1M,€2K,63,78
4495,240988,Denis Vavro,24,Slovakia,SD Huesca,€3.5M,€24K,71,78
4496,241034,Jaden Brown,21,England,Huddersfield Town,€1.5M,€5K,65,75
4497,213949,Kwasi Wriedt,25,Ghana,Willem II,€2.1M,€7K,70,73
4498,214129,Stiven Barreiro,26,Colombia,Club León,€3.1M,€18K,73,74
4499,214209,Ayron del Valle,31,Colombia,FC Juárez,€2M,€12K,72,72
4500,214434,Mauricio Cuero,27,Colombia,Club Atlético Banfield,€3.2M,€13K,73,73
4501,214971,Francisco Pizzini,26,Argentina,Defensa y Justicia,€3.3M,€15K,73,73
4502,214972,Federico Bravo,25,Argentina,Atlético Tucumán,€925K,€4K,67,72
4503,214988,Leonel Miranda,26,Argentina,Racing Club,€9M,€19K,76,77
4504,215057,Iván Marcone,30,Argentina,Elche CF,€13.5M,€20K,78,78
4505,215108,Julio Buffarini,31,Argentina,Boca Juniors,€5.5M,€16K,76,76
4506,215202,Lucas Janson,25,Argentina,Vélez Sarsfield,€6.5M,€18K,75,76
4507,216350,Arijan Ademi,29,North Macedonia,Dinamo Zagreb,€6.5M,€900,76,76
4508,216485,Aaron Tshibola,25,DR Congo,Kilmarnock,€1.1M,€2K,66,69
4509,216692,Sebastián Torrico,40,Argentina,San Lorenzo de Almagro,€350K,€8K,73,73
4510,217532,Mohamed El-Munir,28,Libya,Los Angeles FC,€1.3M,€4K,69,69
4511,217813,Gibrán Lajud,26,Mexico,Santos Laguna,€1.7M,€11K,70,74
4512,217877,Théo Bongonda,24,Belgium,KRC Genk,€7.5M,€15K,75,78
4513,218623,Carlos Miguel Ribeiro Dias,27,Portugal,Nottingham Forest,€1.7M,€24K,70,72
4514,219686,Carlos Alberto Carvalho Silva Jr.,24,Brazil,Santa Clara,€3.2M,€5K,72,75
4515,219911,Thulani Hlatshwayo,30,South Africa,Orlando Pirates,€2.5M,€800,73,73
4516,219937,Nils Körber,23,Germany,Hertha BSC,€1.5M,€10K,68,74
4517,220061,Norbert Gyömbér,26,Slovakia,Perugia,€2.9M,€4K,72,72
4518,220126,Modou Diagne,26,Senegal,Sporting de Charleroi,€1.5M,€7K,69,71
4519,220829,Ernesto Torregrossa,28,Italy,Sampdoria,€1.9M,€14K,71,71
4520,221556,Omenuke Mfulu,26,DR Congo,Elche CF,€1.5M,€8K,68,70
4521,221740,Enzo Crivelli,25,France,Medipol Başakşehir FK,€5.5M,€32K,74,76
4522,221907,Bilal Ould-Chikh,22,Morocco,ADO Den Haag,€850K,€2K,64,68
4523,222715,Otávio Henrique Passos Santos,26,Brazil,FC Girondins de Bordeaux,€11.5M,€30K,77,79
4524,222878,Tyler Walker,23,England,Coventry City,€1.6M,€14K,67,73
4525,223010,Leonardo Morosini,24,Italy,Brescia,€1.7M,€2K,68,72
4526,223717,Dorukhan Toköz,24,Turkey,Beşiktaş JK,€4.2M,€36K,73,78
4527,223877,Darnell Furlong,24,England,West Bromwich Albion,€3.3M,€40K,72,77
4528,224019,Pedro Chirivella Burgos,23,Spain,FC Nantes,€3.1M,€10K,69,77
4529,224302,Mateusz Wieteska,23,Poland,Legia Warszawa,€2.1M,€4K,67,75
4530,224423,Maximilian Wittek,24,Germany,Vitesse,€3.3M,€11K,72,77
4531,224459,Víctor Salazar,27,Argentina,San Lorenzo de Almagro,€2M,€12K,71,72
4532,224739,Peter Olayinka,24,Nigeria,SK Slavia Praha,€7.5M,€900,75,78
4533,224855,George Byers,24,Scotland,Portsmouth,€1.6M,€9K,67,73
4534,225189,Simone Bastoni,23,Italy,Spezia,€825K,€3K,64,69
4535,225305,Sinan Gümüş,26,Germany,Fenerbahçe SK,€3.3M,€45K,73,73
4536,225395,Jokin Ezkieta Mendiburu,23,Spain,Athletic Club de Bilbao,€2M,€5K,67,75
4537,225699,Anuar Mohamed Tuhami,25,Morocco,Real Valladolid CF,€7.5M,€17K,75,80
4538,225950,Marvin Gakpa,26,France,Paris FC,€1.6M,€5K,69,70
4539,226108,Filippo Romagna,23,Italy,Sassuolo,€3.3M,€13K,70,79
4540,226536,Omar Colley,27,Gambia,Sampdoria,€4.2M,€16K,74,75
4541,227106,Diego González Polanco,25,Spain,Elche CF,€2.1M,€10K,70,75
4542,227537,Henk Veerman,29,Netherlands,SC Heerenveen,€2.3M,€9K,72,72
4543,228106,Paudie O'Connor,22,Republic of Ireland,Bradford City,€825K,€3K,62,71
4544,228116,Arquímedes Figuera,30,Venezuela,,€0,€0,69,69
4545,228171,Christopher Ikonomidis,25,Australia,Perth Glory,€2.9M,€7K,72,74
4546,228827,Jeando Fuchs,22,Cameroon,Dundee United,€1.9M,€3K,68,74
4547,229011,Kévin N'Doram,24,France,FC Metz,€3.4M,€11K,72,78
4548,229050,Oskar Buur Rasmussen,22,Denmark,Wolverhampton Wanderers,€525K,€8K,60,70
4549,229654,Gerard Valentín Sancho,26,Spain,CD Lugo,€2.6M,€8K,72,72
4550,229804,Alexandru Mitriță,25,Romania,Al Ahli,€6.5M,€9K,75,76
4551,230204,Héniton Enaldo Pires Tramontino,24,Brazil,Flamengo,€18M,€28K,80,80
4552,230206,Wellingt. Edson Sabrão Rolim,32,Brazil,Flamengo,€9.5M,€37K,78,78
4553,230561,Jay-Roy Grot,22,Netherlands,VfL Osnabrück,€1.5M,€3K,65,72
4554,230672,Lyanco Neves Vojnovic,23,Brazil,Torino,€3.9M,€20K,71,79
4555,230912,Paolo Ghiglione,23,Italy,Genoa,€2.5M,€9K,70,76
4556,230967,Brian Lozano,26,Uruguay,Santos Laguna,€6.5M,€24K,75,76
4557,200332,Tomáš Koubek,27,Czech Republic,FC Augsburg,€1.6M,€13K,71,72
4558,200521,Tom Ince,28,England,Luton Town,€1.6M,€17K,70,70
4559,200607,Christopher Schindler,30,Germany,Huddersfield Town,€1.9M,€19K,72,72
4560,200807,Kieron Freeman,28,Wales,Swansea City,€1.1M,€11K,68,68
4561,200826,Mauro Quiroga,30,Argentina,Pachuca,€5.5M,€19K,75,75
4562,201073,Nicolas De Préville,29,France,FC Girondins de Bordeaux,€4.1M,€28K,74,74
4563,201122,Tomáš Kalas,27,Czech Republic,Bristol City,€2M,€24K,71,73
4564,201700,Norbert Könyves,31,Hungary,,€0,€0,68,68
4565,201901,Carl Winchester,27,Northern Ireland,Sunderland,€825K,€4K,65,66
4566,201988,Federico Fernández,31,Argentina,Newcastle United,€7M,€37K,77,77
4567,202017,Onel Hernández,27,Germany,Norwich City,€3.2M,€11K,73,73
4568,202748,Moo Yol Go,29,Korea Republic,Gangwon FC,€1M,€4K,67,67
4569,202808,Ke Li,27,China PR,Beijing Sinobo Guoan FC,€1.4M,€8K,68,69
4570,202855,Long Tan,32,China PR,,€0,€0,66,66
4571,203138,Josh Scowen,27,England,Sunderland,€1.2M,€6K,68,69
4572,203399,Ouasim Bouy,27,Netherlands,Leeds United,€250K,€12K,60,61
4573,203741,Thomas Delaine,28,France,FC Metz,€2.8M,€15K,73,73
4574,203756,Matt Smith,31,England,Millwall,€1.2M,€8K,69,69
4575,203793,Aron Jóhannsson,29,United States,Lech Poznań,€1.4M,€6K,69,69
4576,203903,Lucas Andersen,25,Denmark,Aalborg BK,€6.5M,€16K,75,76
4577,204341,Luís Carlos Novo Neto,32,Portugal,Sporting CP,€4.9M,€12K,76,76
4578,204782,Samed Yesil,24,Germany,KFC Uerdingen 05,€500K,€2K,63,68
4579,204882,Ryan Williams,26,Australia,Portsmouth,€800K,€4K,65,65
4580,204943,Guofu Luo,32,China PR,Guangzhou Evergrande Taobao FC,€4.6M,€24K,75,75
4581,205818,Ryan Woods,26,England,Millwall,€1.8M,€15K,70,72
4582,205850,Leonardo Pavoletti,31,Italy,Cagliari,€3.6M,€29K,74,74
4583,205943,Vlad Chiricheș,30,Romania,Sassuolo,€3.5M,€25K,74,74
4584,205965,Stefan Ristovski,28,North Macedonia,Dinamo Zagreb,€7M,€900,76,76
4585,206413,Taras Stepanenko,30,Ukraine,Shakhtar Donetsk,€14.5M,€1K,79,79
4586,206536,Tom Naylor,29,England,Portsmouth,€1M,€6K,68,68
4587,207645,Modou Barrow,27,Gambia,Jeonbuk Hyundai Motors,€2M,€8K,71,71
4588,207952,Semi Ajayi,26,Nigeria,West Bromwich Albion,€3.5M,€52K,73,76
4589,208797,Luke Gambin,27,Malta,Newport County,€450K,€3K,62,63
4590,209669,Dimitrios Siovas,31,Greece,SD Huesca,€3.8M,€20K,75,75
4591,209827,Júnior Fernandes,31,Chile,Medipol Başakşehir FK,€4.7M,€33K,75,75
4592,210021,Hany Mukhtar,25,Germany,Nashville SC,€2.8M,€6K,71,76
4593,210136,Tomasz Kędziora,26,Poland,Dynamo Kyiv,€9M,€950,76,79
4594,210438,Farid Boulaya,27,Algeria,FC Metz,€3.2M,€16K,73,73
4595,210520,Edgar Miguel Ié,26,Portugal,Trabzonspor,€2.4M,€20K,72,73
4596,210556,Lucas Eduardo dos Santos João,26,Portugal,Reading,€5M,€16K,74,75
4597,210602,Salem Al Dawsari,28,Saudi Arabia,Al Hilal,€5.5M,€36K,75,75
4598,210843,Hassan Kadish,27,Saudi Arabia,Al Taawoun,€825K,€7K,66,66
4599,210950,Pablo De Blasis,32,Argentina,FC Cartagena,€3.9M,€9K,75,75
4600,211017,Víctor Rodríguez Romero,30,Spain,Elche CF,€2.3M,€14K,72,72
4601,211067,Dario Del Fabro,25,Italy,ADO Den Haag,€1.1M,€15K,66,70
4602,211231,Ramón Azeez,27,Nigeria,FC Cartagena,€4M,€20K,74,74
4603,211348,Stole Dimitrievski,26,North Macedonia,Rayo Vallecano,€2.5M,€5K,72,76
4604,211927,Chang Hoon Kwon,26,Korea Republic,SC Freiburg,€3.3M,€20K,73,73
4605,212125,Lazar Marković,24,Serbia,Fulham,€7M,€40K,74,76
4606,212212,Dominik Kohr,26,Germany,1. FSV Mainz 05,€4.7M,€22K,74,76
4607,212214,Augusto Solari,28,Argentina,RC Celta,€3.1M,€19K,73,73
4608,212219,Alexander Djiku,25,Ghana,RC Strasbourg Alsace,€9M,€24K,76,79
4609,212249,Sebastian Kerk,26,Germany,VfL Osnabrück,€1.9M,€8K,70,71
4610,212287,Andreas Maxsø,26,Denmark,Brøndby IF,€5.5M,€17K,74,79
4611,212830,Awer Mabil,24,Australia,FC Midtjylland,€2.4M,€17K,71,73
4612,212911,Hernâni Jorge Santos Fortes,28,Portugal,Al Wehda,€7.5M,€25K,76,76
4613,213000,Sven van Beek,25,Netherlands,Willem II,€1.8M,€8K,71,71
4614,213702,Hervin Ongenda,25,France,FC Botoşani,€1.4M,€4K,67,71
4615,213732,Alexandr Selikhov,26,Russia,Spartak Moscow,€4M,€32K,74,76
